id,start_time,end_time,age_range,occupation,stress_frequency,mental_health_rating,stress_symptoms,productivity_rating,performance_impact,sleep_hours,overwhelmed_frequency,deadline_impact,mental_health_resources,mental_health_importance
11,2024/11/6 14:15,2024/11/6 14:17,25 - 34,Student,Daily,Average,Insomnia;Fatigue or lack of energy;,3,Yes,3 - 4 hours,Sometimes,Nither agree or disagree,No,Strongly agree
12,2024/11/6 14:27,2024/11/6 14:28,18 - 24,Student,weekly,Average,Insomnia;Fatigue or lack of energy;Increased irritability;Headaches;Difficulty concentrating;,3,Yes,7 - 8 hours,Often,Nither agree or disagree,Yes,Strongly agree
13,2024/11/6 14:35,2024/11/6 14:36,18 - 24,Student,weekly,Average,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Headaches;,2,Yes,5 - 6 hours,Often,Agree,Yes,Strongly agree
14,2024/11/6 15:40,2024/11/6 15:42,18 - 24,Student,Daily,Very Poor,Increased irritability;Headaches;Difficulty concentrating;Fatigue or lack of energy;,3,No,5 - 6 hours,Often,Agree,Yes,Nither agree or disagree
15,2024/11/6 15:57,2024/11/6 15:59,25 - 34,Employee,weekly,Average,Fatigue or lack of energy;Insomnia;Difficulty concentrating;,3,Yes,5 - 6 hours,Sometimes,Agree,No,Nither agree or disagree
16,2024/11/6 16:11,2024/11/6 16:16,18 - 24,other,Daily,Very Poor,Fatigue or lack of energy;,2,Yes,5 - 6 hours,Never,Disagree,No,Strongly agree
17,2024/11/6 17:16,2024/11/6 17:18,18 - 24,other,Daily,Average,Difficulty concentrating;Fatigue or lack of energy;Headaches;Insomnia;,2,Yes,3 - 4 hours,Rarely,Agree,No,Strongly agree
18,2024/11/6 17:34,2024/11/6 17:36,18 - 24,Student,Rarely,Average,Fatigue or lack of energy;,1,No,5 - 6 hours,Rarely,Nither agree or disagree,Yes,Agree
19,2024/11/6 17:45,2024/11/6 17:47,25 - 34,Employee,Rarely,Great and Happy about it,Insomnia;,5,No,7 - 8 hours,Rarely,Strongly disagree,Yes,Strongly agree
20,2024/11/6 17:47,2024/11/6 17:50,25 - 34,Employee,Daily,Very Poor,Difficulty concentrating;,5,Yes,3 - 4 hours,Never,Agree,Yes,Nither agree or disagree
21,2024/11/6 18:08,2024/11/6 18:10,25 - 34,other,Daily,Very Poor,Increased irritability;,5,Yes,7 - 8 hours,Never,Strongly agree,Yes,Agree
22,2024/11/6 18:35,2024/11/6 18:37,25 - 34,Employee,Rarely,Great and Happy about it,Difficulty concentrating;,5,No,7 - 8 hours,Rarely,Agree,No,Agree
23,2024/11/6 18:42,2024/11/6 18:43,25 - 34,Employee,Monthly,Great and Happy about it,Insomnia;Increased irritability;,5,Yes,5 - 6 hours,Often,Strongly agree,No,Strongly agree
24,2024/11/6 18:45,2024/11/6 18:46,25 - 34,Employee,Rarely,Great and Happy about it,Headaches;,3,Yes,7 - 8 hours,Sometimes,Nither agree or disagree,No,Strongly agree
25,2024/11/6 19:14,2024/11/6 19:16,25 - 34,Employee,Rarely,Average,Increased irritability;,5,No,5 - 6 hours,Never,Agree,Yes,Strongly agree
26,2024/11/6 19:25,2024/11/6 19:28,25 - 34,Employee,weekly,Average,Headaches;Fatigue or lack of energy;Increased irritability;,3,Yes,7 - 8 hours,Rarely,Agree,No,Agree
27,2024/11/6 19:58,2024/11/6 20:05,25 - 34,Employee,Rarely,Great and Happy about it,Nothing ;,3,No,5 - 6 hours,Sometimes,Disagree,Yes,Strongly agree
28,2024/11/6 20:21,2024/11/6 20:23,25 - 34,Employee,weekly,Average,Difficulty concentrating;Fatigue or lack of energy;,3,Yes,7 - 8 hours,Sometimes,Nither agree or disagree,Yes,Agree
29,2024/11/6 20:24,2024/11/6 20:25,18 - 24,Employee,Rarely,Average,Difficulty concentrating;,3,No,7 - 8 hours,Sometimes,Agree,Yes,Strongly agree
30,2024/11/6 20:34,2024/11/6 20:39,25 - 34,Employee,weekly,Average,Difficulty concentrating;Fatigue or lack of energy;Increased irritability;Insomnia;Headaches;Freaky dreams;,3,Yes,5 - 6 hours,Sometimes,Strongly agree,No,Strongly agree
31,2024/11/6 21:03,2024/11/6 21:04,18 - 24,Student,weekly,Very Poor,Fatigue or lack of energy;,3,Yes,5 - 6 hours,Sometimes,Nither agree or disagree,Yes,Strongly agree
32,2024/11/6 21:51,2024/11/6 21:53,18 - 24,Student,weekly,Average,Difficulty concentrating;Fatigue or lack of energy;Insomnia;Headaches;,3,Yes,5 - 6 hours,Often,Strongly agree,Yes,Strongly agree
33,2024/11/6 22:04,2024/11/6 22:05,35 - 44,Employee,Daily,Average,Fatigue or lack of energy;Increased irritability;Difficulty concentrating;,3,Yes,5 - 6 hours,Sometimes,Agree,Yes,Agree
34,2024/11/6 23:43,2024/11/6 23:45,18 - 24,Employee,weekly,Average,Headaches;Fatigue or lack of energy;,3,Yes,5 - 6 hours,Rarely,Strongly agree,No,Strongly agree
35,2024/11/7 01:53,2024/11/7 01:54,25 - 34,Student,Monthly,Great and Happy about it,Insomnia;Fatigue or lack of energy;,3,No,5 - 6 hours,Sometimes,Strongly disagree,Yes,Agree
36,2024/11/7 02:37,2024/11/7 02:39,18 - 24,Student,Daily,Average,Difficulty concentrating;,2,Yes,5 - 6 hours,Sometimes,Agree,Yes,Strongly agree
37,2024/11/7 02:40,2024/11/7 02:42,25 - 34,Student,weekly,Very Poor,Increased irritability;,1,Yes,7 - 8 hours,Sometimes,Nither agree or disagree,No,Strongly agree
38,2024/11/7 02:41,2024/11/7 02:43,25 - 34,Student,weekly,Average,Fatigue or lack of energy;Headaches;,3,Yes,5 - 6 hours,Sometimes,Nither agree or disagree,Yes,Strongly agree
39,2024/11/7 02:41,2024/11/7 02:43,25 - 34,Student,Rarely,Average,Insomnia;,4,No,5 - 6 hours,Often,Agree,Yes,Agree
40,2024/11/7 02:45,2024/11/7 02:46,25 - 34,Employee,Rarely,Great and Happy about it,Headaches;,4,No,7 - 8 hours,Rarely,Agree,Yes,Agree
41,2024/11/7 02:48,2024/11/7 02:51,25 - 34,other,Daily,Average,Increased irritability;,3,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
42,2024/11/7 02:58,2024/11/7 03:00,25 - 34,other,weekly,Average,Difficulty concentrating;,3,Yes,5 - 6 hours,Sometimes,Nither agree or disagree,No,Agree
43,2024/11/7 02:58,2024/11/7 03:00,25 - 34,Student,weekly,Average,Headaches;Increased irritability;,4,No,7 - 8 hours,Sometimes,Disagree,Yes,Strongly agree
44,2024/11/7 03:07,2024/11/7 03:10,25 - 34,other,Rarely,Average,Difficulty concentrating;,2,Yes,5 - 6 hours,Sometimes,Strongly agree,Yes,Nither agree or disagree
45,2024/11/7 03:10,2024/11/7 03:10,25 - 34,Employee,Rarely,Very Poor,Insomnia;,3,Yes,5 - 6 hours,Rarely,Agree,No,Disagree
46,2024/11/7 03:33,2024/11/7 03:34,25 - 34,Employee,Rarely,Great and Happy about it,Fear;,4,Yes,5 - 6 hours,Sometimes,Agree,Yes,Agree
47,2024/11/7 03:35,2024/11/7 03:37,25 - 34,Employee,Rarely,Excellent,Headaches;Difficulty concentrating;,4,No,5 - 6 hours,Sometimes,Agree,Yes,Agree
48,2024/11/7 03:58,2024/11/7 03:59,25 - 34,Employee,Daily,Very Poor,Increased irritability;Difficulty concentrating;Fatigue or lack of energy;Insomnia;Headaches;,5,No,5 - 6 hours,Often,Nither agree or disagree,Yes,Agree
49,2024/11/7 04:03,2024/11/7 04:05,25 - 34,Employee,weekly,Average,Headaches;Difficulty concentrating;Fatigue or lack of energy;,4,Yes,7 - 8 hours,Sometimes,Nither agree or disagree,No,Nither agree or disagree
50,2024/11/7 04:13,2024/11/7 04:21,25 - 34,other,weekly,Average,Difficulty concentrating;Increased irritability;Fatigue or lack of energy;Headaches;,3,Yes,7 - 8 hours,Sometimes,Nither agree or disagree,Yes,Nither agree or disagree
51,2024/11/7 07:07,2024/11/7 07:09,25 - 34,Employee,weekly,Very Poor,Headaches;Increased irritability;Fatigue or lack of energy;,5,Yes,5 - 6 hours,Rarely,Nither agree or disagree,Yes,Agree
52,2024/11/7 09:09,2024/11/7 09:10,25 - 34,Employee,Never,Great and Happy about it,Difficulty concentrating;,5,Yes,5 - 6 hours,Sometimes,Strongly agree,Yes,Strongly agree
53,2024/11/7 11:00,2024/11/7 11:02,18 - 24,Student,Rarely,Great and Happy about it,Headaches;Increased irritability;,5,Yes,5 - 6 hours,Sometimes,Nither agree or disagree,No,Agree
54,2024/11/7 11:02,2024/11/7 11:04,18 - 24,Student,weekly,Excellent,Increased irritability;,2,Yes,5 - 6 hours,Rarely,Disagree,Yes,Agree
55,2024/11/7 11:13,2024/11/7 11:15,18 - 24,Student,Monthly,Great and Happy about it,Insomnia;Headaches;Fatigue or lack of energy;Increased irritability;,3,Yes,5 - 6 hours,Rarely,Nither agree or disagree,No,Agree
56,2024/11/7 11:36,2024/11/7 11:38,18 - 24,Employee,Daily,Very Poor,Difficulty concentrating;Increased irritability;Headaches;Insomnia;,1,Yes,5 - 6 hours,Rarely,Strongly agree,No,Strongly agree
57,2024/11/7 12:03,2024/11/7 12:06,18 - 24,Student,Daily,Very Poor,Increased irritability;Headaches;Insomnia;Fatigue or lack of energy;Difficulty concentrating;,5,Yes,7 - 8 hours,Rarely,Nither agree or disagree,No,Agree
58,2024/11/7 12:44,2024/11/7 12:45,55 +,other,Daily,Very Poor,Insomnia;Fatigue or lack of energy;Headaches;Difficulty concentrating;Increased irritability;,1,Yes,Less than 1 hour,Always,Strongly agree,No,Strongly disagree
59,2024/11/7 12:54,2024/11/7 12:55,18 - 24,Student,Rarely,Average,Insomnia;Difficulty concentrating;,3,Yes,7 - 8 hours,Often,Agree,Yes,Agree
60,2024/11/7 15:20,2024/11/7 15:21,18 - 24,Employee,Rarely,Excellent,Headaches;Difficulty concentrating;,3,No,7 - 8 hours,Rarely,Disagree,Yes,Nither agree or disagree
61,2024/11/7 16:00,2024/11/7 16:01,35 - 44,other,Rarely,Excellent,Insomnia;,4,No,More than 10 hours,Often,Strongly disagree,No,Strongly disagree
62,2024/11/7 17:55,2024/11/7 17:57,18 - 24,Student,Daily,Very Poor,Headaches;,1,No,3 - 4 hours,Rarely,Agree,Yes,Agree
63,2024/11/7 20:42,2024/11/7 20:43,18 - 24,Employee,Daily,Excellent,Headaches;,5,Yes,1 - 2 hours,Never,Strongly agree,Yes,Agree
64,2024/11/7 20:43,2024/11/7 20:43,25 - 34,other,Monthly,Very Poor,Difficulty concentrating;,2,Yes,5 - 6 hours,Rarely,Disagree,No,Agree
65,2024/11/7 20:43,2024/11/7 20:43,45 - 54,Employee,Rarely,Very Poor,Insomnia;,4,Yes,7 - 8 hours,Often,Disagree,No,Nither agree or disagree
66,2024/11/7 20:43,2024/11/7 20:44,45 - 54,other,Daily,Excellent,Insomnia;Headaches;,5,Yes,3 - 4 hours,Rarely,Strongly agree,No,Agree
67,2024/11/7 20:44,2024/11/7 20:44,55 +,other,Monthly,Very Poor,Difficulty concentrating;,1,No,1 - 2 hours,Rarely,Agree,Yes,Agree
68,2024/11/7 20:44,2024/11/7 20:44,35 - 44,Student,Never,Excellent,Headaches;,3,No,5 - 6 hours,Rarely,Agree,Yes,Strongly agree
69,2024/11/7 20:44,2024/11/7 20:45,18 - 24,Employee,Rarely,Very Poor,Difficulty concentrating;,3,Yes,3 - 4 hours,Sometimes,Nither agree or disagree,Yes,Strongly agree
70,2024/11/7 20:45,2024/11/7 20:45,25 - 34,Student,Monthly,Excellent,Insomnia;,5,No,5 - 6 hours,Sometimes,Agree,No,Strongly disagree
71,2024/11/7 20:45,2024/11/7 20:46,35 - 44,Employee,weekly,Average,Increased irritability;,4,No,9 - 10 hours,Rarely,Strongly agree,Yes,Agree
72,2024/11/7 23:36,2024/11/7 23:38,18 - 24,Student,weekly,Average,Difficulty concentrating;,2,Yes,7 - 8 hours,Sometimes,Agree,No,Agree
73,2024/11/8 02:47,2024/11/8 02:49,18 - 24,Student,Rarely,Great and Happy about it,Difficulty concentrating;,4,Yes,7 - 8 hours,Sometimes,Disagree,Yes,Agree
74,2024/11/11 17:53,2024/11/11 17:56,18 - 24,Student,Rarely,Average,Headaches;Fatigue or lack of energy;,3,No,5 - 6 hours,Sometimes,Nither agree or disagree,Yes,Strongly agree
75,2024/11/11 17:59,2024/11/11 18:00,18 - 24,Student,weekly,Average,Increased irritability;,3,Yes,7 - 8 hours,Often,Agree,Yes,Strongly agree
76,2024/11/11 18:00,2024/11/11 18:01,25 - 34,Student,Rarely,Great and Happy about it,Difficulty concentrating;,4,No,5 - 6 hours,Often,Nither agree or disagree,Yes,Strongly agree
77,2024/11/11 18:00,2024/11/11 18:03,18 - 24,Student,weekly,Average,Headaches;Difficulty concentrating;Increased irritability;,3,Yes,5 - 6 hours,Often,Agree,Yes,Agree
78,2024/11/11 18:06,2024/11/11 18:08,25 - 34,Student,Rarely,Great and Happy about it,Fatigue or lack of energy;,4,Yes,7 - 8 hours,Sometimes,Nither agree or disagree,Yes,Agree
79,2024/11/11 18:07,2024/11/11 18:09,18 - 24,Student,Daily,Very Poor,Difficulty concentrating;Fatigue or lack of energy;Increased irritability;,3,Yes,3 - 4 hours,Always,Agree,Yes,Agree
80,2024/11/11 18:10,2024/11/11 18:11,18 - 24,Employee,weekly,Average,Difficulty concentrating;,3,Yes,7 - 8 hours,Sometimes,Agree,Yes,Strongly agree
81,2024/11/11 18:11,2024/11/11 18:14,18 - 24,Student,Rarely,Excellent,Increased irritability;,5,No,5 - 6 hours,Sometimes,Disagree,Yes,Strongly agree
82,2024/11/11 18:16,2024/11/11 18:20,18 - 24,Student,Rarely,Average,Headaches;,3,Yes,7 - 8 hours,Sometimes,Agree,Yes,Agree
83,2024/11/11 18:32,2024/11/11 18:35,18 - 24,Student,Daily,Average,Insomnia;Neck pain;,4,No,7 - 8 hours,Always,Agree,No,Nither agree or disagree
84,2024/11/11 18:33,2024/11/11 18:35,35 - 44,Student,weekly,Average,Insomnia;Fatigue or lack of energy;,4,No,7 - 8 hours,Sometimes,Nither agree or disagree,Yes,Strongly agree
85,2024/11/11 18:40,2024/11/11 18:41,18 - 24,Student,weekly,Average,Difficulty concentrating;Headaches;Increased irritability;Fatigue or lack of energy;Insomnia;,2,Yes,5 - 6 hours,Sometimes,Nither agree or disagree,Yes,Nither agree or disagree
86,2024/11/11 18:00,2024/11/11 19:27,18 - 24,Student,Rarely,Average,Headaches;Fatigue or lack of energy;,4,No,7 - 8 hours,Rarely,Agree,Yes,Agree
87,2024/11/12 01:09,2024/11/12 01:13,18 - 24,Student,Rarely,Great and Happy about it,Fatigue or lack of energy;,5,Yes,5 - 6 hours,Sometimes,Agree,No,Nither agree or disagree
88,2024/11/12 01:43,2024/11/12 01:46,18 - 24,Employee,Rarely,Great and Happy about it,Difficulty concentrating;Fatigue or lack of energy;,4,No,9 - 10 hours,Never,Disagree,Yes,Strongly agree
89,2024/11/12 02:30,2024/11/12 02:33,18 - 24,Employee,Daily,Excellent,Increased irritability;,4,Yes,5 - 6 hours,Often,Nither agree or disagree,No,Nither agree or disagree
90,2024/11/12 02:39,2024/11/12 02:40,18 - 24,Student,weekly,Average,Difficulty concentrating;,3,Yes,5 - 6 hours,Sometimes,Agree,Yes,Strongly agree
91,2024/11/12 03:03,2024/11/12 03:06,25 - 34,Student,Rarely,Average,Increased irritability;Difficulty concentrating;,3,Yes,5 - 6 hours,Never,Disagree,Yes,Strongly agree
92,2024/11/12 14:28,2024/11/12 14:32,25 - 34,Student,weekly,Average,Fatigue or lack of energy;Difficulty concentrating;Headaches;,4,Yes,7 - 8 hours,Sometimes,Agree,Yes,Agree
93,2024/11/12 19:13,2024/11/12 19:14,25 - 34,Student,Daily,Average,Insomnia;Fatigue or lack of energy;,3,No,5 - 6 hours,Often,Nither agree or disagree,Yes,Agree
94,2024/11/12 19:20,2024/11/12 19:22,18 - 24,Student,Rarely,Average,Nothing;,5,No,3 - 4 hours,Sometimes,Disagree,Yes,Strongly agree
95,2024/11/12 19:27,2024/11/12 19:28,25 - 34,Student,weekly,Very Poor,Increased irritability;Fatigue or lack of energy;Difficulty concentrating;,4,Yes,5 - 6 hours,Sometimes,Nither agree or disagree,Yes,Nither agree or disagree
96,2024/11/12 19:27,2024/11/12 19:29,18 - 24,Student,Daily,Very Poor,Difficulty concentrating;Fatigue or lack of energy;Increased irritability;Headaches;,5,Yes,3 - 4 hours,Often,Nither agree or disagree,Yes,Strongly agree
97,2024/11/12 19:30,2024/11/12 19:33,25 - 34,Student,weekly,Average,Fatigue or lack of energy;Increased irritability;,4,No,7 - 8 hours,Often,Nither agree or disagree,No,Strongly agree
98,2024/11/12 19:53,2024/11/12 19:55,18 - 24,Student,weekly,Great and Happy about it,Headaches;,5,No,5 - 6 hours,Often,Disagree,Yes,Agree
99,2024/11/12 20:25,2024/11/12 20:27,18 - 24,Student,Daily,Great and Happy about it,Fatigue or lack of energy;,4,Yes,5 - 6 hours,Sometimes,Nither agree or disagree,No,Agree
100,2024/11/12 21:57,2024/11/12 21:59,25 - 34,Student,Daily,Very Poor,Fatigue or lack of energy;,5,Yes,Less than 1 hour,Often,Strongly disagree,Yes,Strongly disagree
101,2024/11/12 22:18,2024/11/12 22:20,35 - 44,Employee,Rarely,Excellent,Fatigue or lack of energy;,5,Yes,7 - 8 hours,Rarely,Disagree,Yes,Strongly agree
102,2024/11/13 11:36,2024/11/13 11:38,35 - 44,Employee,Never,Excellent,None;,4,No,7 - 8 hours,Never,Nither agree or disagree,Yes,Agree
103,2024/11/15 16:20,2024/11/15 16:20,25 - 34,Employee,Never,Excellent,Fatigue or lack of energy;,3,No,1 - 2 hours,Rarely,Strongly disagree,No,Disagree
104,2024/11/15 16:20,2024/11/15 16:20,35 - 44,Employee,Rarely,Excellent,Difficulty concentrating;,4,No,Less than 1 hour,Never,Nither agree or disagree,No,Disagree
105,2024/11/15 16:19,2024/11/15 16:20,18 - 24,Student,Never,Great and Happy about it,Increased irritability;,4,No,5 - 6 hours,Sometimes,Agree,Yes,Strongly agree
106,2024/11/15 16:21,2024/11/15 16:21,55 +,other,Monthly,Excellent,Headaches;,5,Yes,1 - 2 hours,Often,Agree,Yes,Agree
107,2024/11/15 16:21,2024/11/15 16:21,18 - 24,Student,Rarely,Great and Happy about it,Increased irritability;,4,No,5 - 6 hours,Rarely,Strongly agree,Yes,Disagree
108,2024/11/15 16:22,2024/11/15 16:22,18 - 24,Student,Daily,Average,Increased irritability;,4,Yes,5 - 6 hours,Never,Agree,No,Strongly agree
109,2024/11/15 16:22,2024/11/15 16:22,18 - 24,Student,Never,Great and Happy about it,Increased irritability;,3,No,7 - 8 hours,Sometimes,Strongly agree,Yes,Strongly disagree
110,2024/11/15 16:22,2024/11/15 16:23,18 - 24,Student,Never,Great and Happy about it,Increased irritability;,3,No,5 - 6 hours,Sometimes,Disagree,Yes,Nither agree or disagree
111,2024/11/15 16:23,2024/11/15 16:23,18 - 24,Student,weekly,Average,Insomnia;,1,No,7 - 8 hours,Never,Nither agree or disagree,No,Disagree
112,2024/11/15 16:23,2024/11/15 16:24,18 - 24,Student,Never,Great and Happy about it,Difficulty concentrating;,3,No,9 - 10 hours,Sometimes,Nither agree or disagree,No,Strongly agree
113,2024/11/15 16:24,2024/11/15 16:24,18 - 24,Student,Daily,Average,Increased irritability;,4,Yes,3 - 4 hours,Sometimes,Strongly agree,No,Agree
114,2024/11/15 16:25,2024/11/15 16:25,18 - 24,Student,weekly,Excellent,Increased irritability;,5,Yes,7 - 8 hours,Sometimes,Strongly agree,Yes,Agree
115,2024/11/15 16:25,2024/11/15 16:26,25 - 34,Employee,weekly,Average,Headaches;,4,No,7 - 8 hours,Sometimes,Strongly agree,Yes,Strongly agree
116,2024/11/15 16:39,2024/11/15 16:39,18 - 24,Employee,Daily,Very Poor,Insomnia;,1,No,7 - 8 hours,Sometimes,Strongly agree,No,Agree
117,2024/11/15 16:39,2024/11/15 16:40,18 - 24,Employee,Monthly,Great and Happy about it,Headaches;,2,No,7 - 8 hours,Sometimes,Strongly agree,Yes,Strongly agree
118,2024/11/15 16:40,2024/11/15 16:41,18 - 24,Student,Monthly,Great and Happy about it,Increased irritability;,3,Yes,7 - 8 hours,Rarely,Agree,No,Strongly agree
119,2024/11/15 16:41,2024/11/15 16:42,25 - 34,Employee,weekly,Great and Happy about it,Fatigue or lack of energy;,5,No,7 - 8 hours,Rarely,Strongly agree,No,Nither agree or disagree
120,2024/11/16 14:18,2024/11/16 14:18,18 - 24,Employee,weekly,Excellent,Headaches;,2,Yes,3 - 4 hours,Always,Disagree,Yes,Agree
121,2024/11/16 14:18,2024/11/16 14:19,25 - 34,Employee,weekly,Great and Happy about it,Difficulty concentrating;,5,Yes,9 - 10 hours,Never,Strongly agree,No,Nither agree or disagree
122,2024/11/16 14:19,2024/11/16 14:19,18 - 24,Student,Daily,Average,Insomnia;,4,No,3 - 4 hours,Rarely,Nither agree or disagree,Yes,Agree
123,2024/11/16 14:19,2024/11/16 14:19,25 - 34,Student,Daily,Great and Happy about it,Insomnia;,1,No,7 - 8 hours,Often,Disagree,No,Agree
124,2024/11/16 14:20,2024/11/16 14:20,35 - 44,Employee,weekly,Excellent,Increased irritability;,3,No,5 - 6 hours,Rarely,Nither agree or disagree,Yes,Nither agree or disagree
125,2024/11/16 14:20,2024/11/16 14:20,25 - 34,Employee,Monthly,Very Poor,Insomnia;,1,Yes,3 - 4 hours,Always,Nither agree or disagree,No,Agree
126,2024/11/16 14:20,2024/11/16 14:20,25 - 34,Student,Monthly,Average,Headaches;,3,Yes,9 - 10 hours,Always,Disagree,Yes,Strongly disagree
127,11/6/2024 20:45,11/6/2024 20:49,45 - 54,Employee,weekly,Average,Increased irritability;Insomnia;Difficulty concentrating;,5,Yes,5 - 6 hours,Rarely,Nither agree or disagree,No,Strongly agree
128,11/6/2024 20:50,11/6/2024 20:55,55 +,Employee,Rarely,Excellent,Insomnia;,4,No,7 - 8 hours,Rarely,Agree,No,Agree
129,11/6/2024 21:05,11/6/2024 21:07,18 - 24,Student,Rarely,Excellent,Fatigue or lack of energy;,4,No,5 - 6 hours,Sometimes,Disagree,Yes,Strongly agree
130,11/6/2024 21:06,11/6/2024 21:08,25 - 34,Employee,Rarely,Great,Difficulty concentrating;,3,Yes,7 - 8 hours,Rarely,Agree,Yes,Strongly agree
131,11/6/2024 21:06,11/6/2024 21:08,25 - 34,Employee,Rarely,Great,Difficulty concentrating;,3,Yes,7 - 8 hours,Rarely,Agree,Yes,Strongly agree
132,11/6/2024 21:06,11/6/2024 21:09,55 +,Employee,Rarely,Excellent,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Insomnia;,4,Yes,9 - 10 hours,Sometimes,Agree,No,Agree
133,11/6/2024 21:08,11/6/2024 21:10,25 - 34,Employee,Monthly,Average,Fatigue or lack of energy;Difficulty concentrating;,2,Yes,5 - 6 hours,Sometimes,Strongly agree,Yes,Agree
134,11/6/2024 21:08,11/6/2024 21:11,45 - 54,Employee,Rarely,Average,Fatigue or lack of energy;Increased irritability;Headaches;,2,Yes,5 - 6 hours,Rarely,Agree,No,Agree
135,11/6/2024 21:09,11/6/2024 21:11,25 - 34,Employee,Never,Excellent,None;,2,No,5 - 6 hours,Never,Agree,No,Agree
136,11/6/2024 21:12,11/6/2024 21:13,45 - 54,Employee,Rarely,Excellent,Difficulty concentrating;Insomnia;Fatigue or lack of energy;,3,Yes,5 - 6 hours,Sometimes,Strongly agree,Yes,Strongly agree
137,11/6/2024 21:11,11/6/2024 21:15,25 - 34,other,Daily,Very Poor,Insomnia;Increased irritability;Fatigue or lack of energy;Difficulty concentrating;失落感及焦慮感上升;,3,Yes,3 - 4 hours,Always,Strongly agree,No,Strongly agree
138,11/6/2024 21:14,11/6/2024 21:17,45 - 54,other,weekly,Excellent,Difficulty concentrating;,4,Yes,7 - 8 hours,Sometimes,Agree,Yes,Agree
139,11/6/2024 21:16,11/6/2024 21:18,45 - 54,Employee,Monthly,Average,Fatigue or lack of energy;,2,No,9 - 10 hours,Rarely,Agree,Yes,Agree
140,11/6/2024 21:17,11/6/2024 21:19,25 - 34,Student,Monthly,Average,Fatigue or lack of energy;Difficulty concentrating;Insomnia;,4,Yes,5 - 6 hours,Often,Agree,No,Strongly agree
141,11/6/2024 21:21,11/6/2024 21:23,55 +,Employee,Rarely,Excellent,Fatigue or lack of energy;,1,No,5 - 6 hours,Rarely,Strongly agree,No,Nither agree or disagree
142,11/6/2024 21:23,11/6/2024 21:27,55 +,Employee,Monthly,Average,Fatigue or lack of energy;Difficulty concentrating;,3,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
143,11/6/2024 21:27,11/6/2024 21:29,25 - 34,other,Daily,Average,Increased irritability;Insomnia;Fatigue or lack of energy;Headaches;,4,Yes,5 - 6 hours,Often,Agree,No,Strongly agree
144,11/6/2024 21:27,11/6/2024 21:29,35 - 44,Employee,Monthly,Excellent,Insomnia;,3,Yes,5 - 6 hours,Rarely,Agree,No,Agree
145,11/6/2024 21:32,11/6/2024 21:33,25 - 34,Employee,weekly,Average,Fatigue or lack of energy;Increased irritability;,3,Yes,5 - 6 hours,Often,Nither agree or disagree,No,Agree
146,11/6/2024 21:32,11/6/2024 21:34,25 - 34,Employee,Daily,Very Poor,Fatigue or lack of energy;Increased irritability;Insomnia;,3,Yes,7 - 8 hours,Sometimes,Strongly agree,No,Strongly agree
147,11/6/2024 21:34,11/6/2024 21:35,25 - 34,other,Monthly,Average,Difficulty concentrating;Fatigue or lack of energy;,3,Yes,7 - 8 hours,Sometimes,Agree,Yes,Agree
148,11/6/2024 21:34,11/6/2024 21:36,25 - 34,Employee,Rarely,Average,Difficulty concentrating;Insomnia;Headaches;Fatigue or lack of energy;,2,No,7 - 8 hours,Sometimes,Nither agree or disagree,No,Agree
